1;quisquam;246;14
2;sed;1144;17
3;voluptatem;1952;7
4;est;1658;17
5;eum;1645;20
6;nulla;565;13
7;quos;915;19
8;dignissimos;182;7
9;tempora;1536;10
10;praesentium;1238;13
11;id;987;7
12;officiis;411;13
13;eos;831;6
14;voluptatem;1674;11
15;tenetur;556;12
16;qui;1698;11
17;reprehenderit;1915;15
18;sequi;1227;18
19;est;210;11
20;error;461;8
21;ea;1360;6
22;architecto;381;5
23;cum;1233;11
24;et;1495;11
25;dolor;1012;16
26;iusto;614;10
27;odio;467;3
28;qui;183;17
29;commodi;1772;19
30;ducimus;1574;3
31;impedit;1406;12
32;et;1092;7
33;nisi;457;4
34;ad;748;13
35;amet;1388;8
36;laudantium;464;3
37;vitae;337;14
38;quia;1158;16
39;dolorem;532;11
40;ut;926;15
41;consequatur;707;14
42;quidem;1379;20
43;dolor;1710;20
44;ea;676;6
45;nihil;1183;18
46;beatae;566;8
47;sed;130;19
48;ipsum;443;14
49;consequuntur;1197;14
50;ut;482;15
